"","AMZN.Open","AMZN.High","AMZN.Low","AMZN.Close","AMZN.Volume","AMZN.Adjusted"
"1503",261.3,261.67,257.68,257.99,2300000,257.99
"1504",258.36,262.41,256.54,261.5,2584600,261.5
"1505",257.82,258.38,255.74,256.92,4704600,256.92
"1506",257.3,259.5,256.96,258.62,984400,258.62
"1507",257.15,257.42,248.04,248.63,4152700,248.63
"1508",248.28,249.35,242.86,248.31,3639300,248.31
"1509",245.85,247.44,245.05,245.18,1858700,245.18
"1510",243.75,252.41,242.75,250.87,3419000,250.87
"1511",256.08,258.1,253.26,257.31,3271000,257.31
"1512",257.27,260.88,256.37,258.48,2750900,258.48
"1513",257.58,259.8,256.65,259.15,1874200,259.15
"1514",262.97,269.73,262.67,268.46,4910000,268.46
"1515",267.07,268.98,263.57,266.38,3010700,266.38
"1516",268.17,269.5,265.4,266.35,2265600,266.35
"1517",268.54,268.74,262.3,265.34,2863400,265.34
"1518",265.1,268.43,264.11,267.94,2413300,267.94
"1519",268,274.26,267.54,272.73,4275000,272.73
"1520",270.68,272.73,269.3,271.9,2326900,271.9
"1521",270.53,271.24,267.83,268.93,2065600,268.93
"1522",271.5,271.97,269.21,270.48,1884600,270.48
"1523",270.83,274.5,269.6,272.12,2942000,272.12
"1524",271.62,272.1,269.23,270.19,2137700,270.19
"1525",270.57,271.09,266.65,268.11,2508900,268.11
"1526",269.37,276.65,269.37,273.46,3417000,273.46
"1527",275,284.72,274.4,283.99,4968100,283.99
"1528",283.78,284.48,274.4,276.04,4321400,276.04
"1529",275.35,275.46,258.35,260.35,10172600,260.35
"1530",283,284.2,267.11,272.76,13075400,272.76
"1531",271.04,275.94,263.7,265.5,6772100,265.5
"1532",268.93,268.93,262.8,265,6115000,265
"1533",262.78,264.68,259.07,259.98,3723600,259.98
"1534",262,268.03,261.46,266.89,4012900,266.89
"1535",265.16,266.89,261.11,262.22,2770400,262.22
"1536",264.1,264.1,255.11,260.23,3975700,260.23
"1537",261.4,265.25,260.55,261.95,3879200,261.95
"1538",263.2,263.25,256.6,257.21,3403700,257.21
"1539",259.19,260.16,257,258.7,2943700,258.7
"1540",261.53,269.96,260.3,269.47,5293000,269.47
"1541",267.37,270.65,265.4,269.24,3463000,269.24
"1542",267.63,268.92,263.11,265.09,3979900,265.09
"1543",265.91,270.11,264.5,269.75,2854200,269.75
"1544",270.2,274.3,266.37,266.41,3528900,266.41
"1545",265.12,269.48,263.25,265.94,3637400,265.94
"1546",266.62,267.11,261.61,265.42,3124800,265.42
"1547",266.94,268.69,259.65,259.87,3032400,259.87
"1548",260.89,262.04,255.73,259.36,3348600,259.36
"1549",259.4,265.83,256.86,263.25,2908100,263.25
"1550",261.81,267,260.63,264.27,2667200,264.27
"1551",263.27,266.6,261.04,265.74,2957000,265.74
"1552",265.36,273.3,264.14,273.11,3453000,273.11
"1553",274,276.68,269.99,275.59,3686200,275.59
"1554",275.76,276.49,271.83,273.79,2050700,273.79
"1555",274.1,274.8,271.85,273.88,1939000,273.88
"1556",275,275.44,271.5,274.19,1879800,274.19
"1557",273.43,273.99,270.4,271.24,1904900,271.24
"1558",271,277.4,270.36,274.13,3246200,274.13
"1559",275.24,276.5,272.64,275.1,1884200,275.1
"1560",269.67,270,263.53,265.74,5226700,265.74
"1561",264.98,267.26,260.05,261.82,4865900,261.82
"1562",259.3,261.49,257.12,257.89,2720200,257.89
"1563",258.4,259.5,252.62,256.41,3738500,256.41
"1564",258.05,259.76,254.55,257.28,2738900,257.28
"1565",256.11,257,252.68,253.39,2806400,253.39
"1566",254.55,257.77,252.07,257.75,3124600,257.75
"1567",258.58,259.43,254.5,256.02,2513900,256.02
"1568",257.05,261.48,256.28,260.31,2421000,260.31
"1569",258.75,265.93,257.9,265.3,2874900,265.3
"1570",265.82,267.38,264.06,266.49,2473700,266.49
"1571",266.98,267.4,261.01,261.61,2524800,261.61
"1572",262.4,265.89,260.55,263.32,2631100,263.32
"1573",262.12,263.67,257.75,259.03,2413800,259.03
"1574",259.23,260.41,256.12,259.08,1964400,259.08
"1575",255.72,256.18,253.67,255.48,2557400,255.48
"1576",255.92,259.68,255.63,258.95,2295600,258.95
"1577",258.85,262.61,257,261.14,2156600,261.14
"1578",261.78,265.98,259.32,264.77,2322500,264.77
"1579",264.74,270.97,264.74,269.85,3090500,269.85
"1580",270.12,273.27,267.02,272.87,2866300,272.87
"1581",271.08,275.12,267.1,267.72,3326000,267.72
"1582",269.31,272.8,268.06,272.34,2137200,272.34
"1583",270.8,270.85,264.25,267.4,3135100,267.4
"1584",266.81,266.99,256.6,259.42,3137600,259.42
"1585",258.16,262.88,257.5,260.32,2602500,260.32
"1586",259.35,264.6,258.03,263.55,2119100,263.55
"1587",264.5,269.87,264.5,268.9,2270600,268.9
"1588",269.5,271.47,266.81,268.78,1852800,268.78
"1589",271.53,275.8,270.5,274.7,6116500,274.7
"1590",269.97,272.02,252.81,254.81,14030000,254.81
"1591",254.9,257.01,249.15,249.74,7117000,249.74
"1592",249.37,254.68,248.56,253.81,4248800,253.81
"1593",253.9,254.2,245.75,248.23,4391400,248.23
"1594",248.94,252.93,245.78,252.55,3936200,252.55
"1595",256.14,259.25,254.7,258.05,3514000,258.05
"1596",258.09,259.5,253.42,255.72,2347800,255.72
"1597",256.31,259.74,252.91,257.73,3133700,257.73
"1598",256.87,260.3,255.33,258.68,2677000,258.68
"1599",258.73,263.55,256.88,260.16,2769300,260.16
"1600",260.88,263.65,260.21,263.63,3145300,263.63
"1601",262.77,265.88,262,264.51,2149500,264.51
"1602",264.5,269.4,264.03,268.33,2700000,268.33
"1603",267.07,269.05,264.56,266.56,2720500,266.56
"1604",265.96,268.43,263.85,264.12,1643500,264.12
"1605",265.83,269.98,265,269.9,2527300,269.9
"1606",269,271.79,266.5,267.63,2209000,267.63
"1607",268.74,270.77,267.66,268.86,1741200,268.86
"1608",267.39,267.59,260.8,262.96,3332000,262.96
"1609",260.49,263.17,259.59,261.8,2000300,261.8
"1610",259.85,261.93,258.34,261.74,1696300,261.74
"1611",266.48,271.1,266,267.29,3471000,267.29
"1612",265.46,268.25,264.84,265.53,1903400,265.53
"1613",265.71,268.57,265.61,266.83,1667500,266.83
"1614",266,271.91,265.94,269.2,3374300,269.2
"1615",268.96,269.11,262.95,266.88,2543900,266.88
"1616",267,268.88,263.02,265.7,2088600,265.7
"1617",265.81,271.66,265.02,267.17,3512300,267.17
"1618",267.75,270.5,264.21,267.83,2476300,267.83
"1619",269.74,280.1,269.13,276.87,4632600,276.87
"1620",276.68,282.47,275.24,281.07,3086500,281.07
"1621",276,278.41,274.24,274.78,3097800,274.78
"1622",276.6,276.8,270.45,271.67,2238900,271.67
"1623",271.5,276.8,270.29,275.79,2649800,275.79
"1624",275,277.07,273.44,273.99,2150800,273.99
"1625",276.35,280.2,275.65,278.06,2884000,278.06
"1626",279.08,282.91,278.11,281.76,2146100,281.76
"1627",281.26,283.34,277.87,278.16,2827500,278.16
"1628",275.14,278.6,272.39,273.44,2984000,273.44
"1629",274.57,275.84,269.79,273.36,4201000,273.36
"1630",271.29,273.16,265,270.61,3863800,270.61
"1631",272.3,273.47,269,272.09,2449600,272.09
"1632",273.98,277.98,273.5,277.57,3029500,277.57
"1633",279.18,280.2,274.54,277.55,2519500,277.55
"1634",276.19,279.83,276.19,277.69,3193300,277.69
"1635",279,283.29,277.16,282.1,2888200,282.1
"1636",281.04,286.58,280.59,283.73,3238200,283.73
"1637",282,285.4,282,284.03,1373000,284.03
"1638",285,286.38,282.07,285.88,1985400,285.88
"1639",286.42,291.67,286.14,290.59,3046700,290.59
"1640",291,292.57,288.01,291.53,2775600,291.53
"1641",291.41,293.34,289.4,292.33,1810200,292.33
"1642",294.99,300.69,292.1,299.66,4007300,299.66
"1643",298.69,307.55,298.5,307.55,4539300,307.55
"1644",307.27,307.99,304.35,306.57,2245600,306.57
"1645",307.3,309.39,305.51,306.87,2660200,306.87
"1646",306.97,308.8,305.69,308.69,2029700,308.69
"1647",306.27,306.34,301.87,304.11,3063800,304.11
